state_in_brazil,host_sex,host_age,n
Rio Grande do Norte\Natal,female,46,2
Rio Grande do Norte\Natal,female,47,1
Rio Grande do Norte\Natal,female,48,3
Rio Grande do Norte\Natal,female,49,2
Rio Grande do Norte\Natal,female,50,1
Rio Grande do Norte\Natal,female,52,2
Rio Grande do Norte\Natal,female,54,1
Rio Grande do Norte\Natal,female,55,1
Rio Grande do Norte\Natal,female,56,1
Rio Grande do Norte\Natal,female,57,1
Rio Grande do Norte\Natal,female,60,1
Rio Grande do Norte\Natal,female,62,1
Rio Grande do Norte\Natal,female,63,2
Rio Grande do Norte\Natal,female,64,1
Rio Grande do Norte\Natal,female,69,1
Rio Grande do Norte\Natal,female,72,1
Rio Grande do Norte\Natal,female,83,1
Rio Grande do Norte\Natal,male,43,1
Rio Grande do Norte\Natal,male,46,2
Rio Grande do Norte\Natal,male,48,1
Rio Grande do Norte\Natal,male,50,1
Rio Grande do Norte\Natal,male,52,2
Rio Grande do Norte\Natal,male,53,3
Rio Grande do Norte\Natal,male,54,1
Rio Grande do Norte\Natal,male,56,1
Rio Grande do Norte\Natal,male,57,2
Rio Grande do Norte\Natal,male,59,1
Rio Grande do Norte\Natal,male,60,1
Rio Grande do Norte\Natal,male,63,2
Rio Grande do Norte\Natal,male,65,2
Rio Grande do Norte\Natal,male,72,1
