state_in_brazil,host_sex,host_age,n
\Natal,female,46,2
\Natal,female,47,1
\Natal,female,48,3
\Natal,female,49,2
\Natal,female,50,1
\Natal,female,52,2
\Natal,female,54,1
\Natal,female,55,1
\Natal,female,56,1
\Natal,female,57,1
\Natal,female,60,1
\Natal,female,62,1
\Natal,female,63,2
\Natal,female,64,1
\Natal,female,69,1
\Natal,female,72,1
\Natal,female,83,1
\Natal,male,43,1
\Natal,male,46,2
\Natal,male,48,1
\Natal,male,50,1
\Natal,male,52,2
\Natal,male,53,3
\Natal,male,54,1
\Natal,male,56,1
\Natal,male,57,2
\Natal,male,59,1
\Natal,male,60,1
\Natal,male,63,2
\Natal,male,65,2
\Natal,male,72,1
